                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2721,                0.59144,                 1.0105,                0.86833,                0.65774,                0.73736,                0.41998,                 1.2704,                 0.5272,                  1.044,               0.006535,               0.006535,               0.006535
                     37,                 1.2707,                0.58756,                 1.0047,                0.86915,                0.65763,                0.73745,                0.41877,                 1.2729,                0.52499,                 1.0402,               0.006436,               0.006436,               0.006436
                     38,                 1.2573,                 0.5831,                 1.0055,                0.87591,                0.65454,                0.73792,                0.41922,                 1.2706,                0.52291,                 1.0379,               0.006337,               0.006337,               0.006337
                     39,                 1.2639,                0.58181,                 1.0059,                0.87351,                0.65603,                0.73787,                0.42031,                 1.2703,                0.52077,                 1.0407,               0.006238,               0.006238,               0.006238
                     40,                 1.2528,                0.57558,                 1.0008,                0.87006,                0.66141,                0.74205,                0.42209,                 1.2695,                 0.5202,                 1.0397,               0.006139,               0.006139,               0.006139
                     41,                 1.2565,                0.57722,                 1.0035,                0.87157,                0.66077,                0.74155,                0.42099,                 1.2724,                0.52004,                 1.0429,                0.00604,                0.00604,                0.00604
                     42,                 1.2455,                0.57104,                0.99696,                0.87247,                0.66204,                0.74321,                0.42195,                 1.2691,                 0.5155,                 1.0344,               0.005941,               0.005941,               0.005941
                     43,                 1.2433,                0.56976,                0.99303,                0.87063,                0.66287,                0.74428,                0.42308,                 1.2689,                0.51614,                 1.0331,               0.005842,               0.005842,               0.005842
                     44,                 1.2473,                0.56983,                0.98806,                0.87021,                0.66239,                0.74424,                0.42373,                 1.2667,                0.51393,                 1.0284,               0.005743,               0.005743,               0.005743
                     45,                 1.2446,                0.56915,                0.99965,                 0.8749,                   0.66,                0.74329,                0.42279,                 1.2675,                0.51343,                 1.0389,               0.005644,               0.005644,               0.005644
                     46,                 1.2542,                0.57233,                 1.0026,                0.87719,                0.66068,                0.74365,                0.42347,                 1.2644,                 0.5103,                 1.0392,               0.005545,               0.005545,               0.005545
                     47,                 1.2488,                0.56949,                0.99719,                0.87831,                0.66127,                0.74478,                0.42461,                 1.2633,                0.51095,                 1.0363,               0.005446,               0.005446,               0.005446
                     48,                 1.2526,                0.56934,                0.99622,                 0.8776,                0.66252,                 0.7455,                0.42434,                 1.2615,                0.50914,                 1.0318,               0.005347,               0.005347,               0.005347
                     49,                 1.2469,                0.56629,                0.98992,                0.87834,                0.66278,                0.74666,                0.42583,                 1.2608,                0.50896,                 1.0289,               0.005248,               0.005248,               0.005248
                     50,                 1.2412,                0.56284,                0.98698,                0.87587,                0.66513,                0.74779,                0.42582,                 1.2627,                0.50845,                 1.0281,               0.005149,               0.005149,               0.005149
                     51,                  1.218,                0.54811,                0.98612,                 0.8747,                0.66834,                0.74942,                0.42776,                 1.2612,                0.50631,                 1.0333,                0.00505,                0.00505,                0.00505
                     52,                 1.2142,                0.54901,                0.98602,                0.87836,                0.66448,                0.74898,                0.42829,                 1.2611,                0.50552,                 1.0377,               0.004951,               0.004951,               0.004951
                     53,                  1.222,                0.55074,                0.98094,                0.87299,                0.67045,                0.74977,                0.42815,                 1.2611,                 0.5038,                 1.0369,               0.004852,               0.004852,               0.004852
                     54,                 1.2078,                0.54379,                0.97977,                0.87342,                0.67008,                0.75092,                0.42884,                 1.2611,                0.50257,                 1.0342,               0.004753,               0.004753,               0.004753
                     55,                 1.2082,                0.54354,                0.97751,                0.87338,                0.67083,                0.75091,                0.42919,                 1.2606,                0.50243,                  1.032,               0.004654,               0.004654,               0.004654
                     56,                 1.2006,                0.54015,                0.97649,                0.87317,                0.67194,                0.75193,                0.42916,                 1.2613,                0.50234,                 1.0326,               0.004555,               0.004555,               0.004555
