                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2962,                0.60525,                 1.0004,                0.87118,                 0.6394,                0.72181,                0.40566,                 1.2964,                0.54424,                 1.0344,              0.0074108,              0.0074108,              0.0074108
                     36,                 1.2985,                0.60402,                0.99782,                0.86822,                0.64116,                0.72182,                0.40606,                 1.2921,                0.54165,                 1.0301,              0.0073346,              0.0073346,              0.0073346
                     37,                 1.2921,                0.60163,                0.99902,                0.87135,                0.64038,                0.72363,                0.40699,                 1.2941,                0.54318,                 1.0374,              0.0072585,              0.0072585,              0.0072585
                     38,                 1.2851,                0.59716,                0.99327,                0.87659,                0.63925,                0.72608,                0.40921,                 1.2955,                0.53962,                 1.0336,              0.0071823,              0.0071823,              0.0071823
                     39,                 1.2915,                0.60086,                0.99946,                0.86947,                0.64199,                0.72665,                0.40939,                 1.2965,                0.53967,                 1.0308,              0.0071062,              0.0071062,              0.0071062
                     40,                 1.2771,                0.59121,                0.99419,                0.86943,                0.64549,                0.72706,                 0.4091,                  1.299,                0.53757,                 1.0359,                0.00703,                0.00703,                0.00703
                     41,                   1.28,                0.59269,                0.99624,                0.87132,                0.64313,                 0.7274,                0.41068,                 1.2934,                0.53481,                 1.0346,              0.0069538,              0.0069538,              0.0069538
                     42,                 1.2788,                0.58942,                0.99208,                0.87043,                0.64578,                 0.7282,                0.41188,                 1.2909,                 0.5349,                  1.031,              0.0068777,              0.0068777,              0.0068777
                     43,                 1.2787,                0.58903,                0.98887,                 0.8681,                0.64854,                0.72852,                0.41313,                 1.2877,                0.53295,                 1.0283,              0.0068015,              0.0068015,              0.0068015
                     44,                 1.2786,                0.58611,                0.99084,                0.87292,                0.64716,                0.73027,                0.41341,                 1.2855,                0.53152,                 1.0333,              0.0067254,              0.0067254,              0.0067254
                     45,                 1.2588,                0.58139,                0.99507,                0.87182,                0.64756,                0.72947,                0.41343,                 1.2872,                0.53088,                 1.0373,              0.0066492,              0.0066492,              0.0066492
                     46,                  1.261,                0.58116,                0.99276,                  0.874,                0.64821,                0.73171,                0.41391,                   1.29,                0.53136,                 1.0397,              0.0065731,              0.0065731,              0.0065731
                     47,                 1.2623,                0.58058,                0.98876,                 0.8735,                0.65018,                0.73191,                0.41425,                 1.2876,                0.53012,                 1.0389,              0.0064969,              0.0064969,              0.0064969
                     48,                 1.2593,                0.57979,                0.98732,                0.87098,                0.65064,                0.73333,                0.41488,                 1.2838,                0.52697,                 1.0342,              0.0064208,              0.0064208,              0.0064208
                     49,                 1.2583,                0.57601,                0.98613,                0.87087,                0.65188,                0.73397,                0.41636,                 1.2833,                0.52573,                 1.0364,              0.0063446,              0.0063446,              0.0063446
                     50,                 1.2464,                0.57268,                0.98424,                0.86952,                0.65451,                0.73627,                0.41689,                 1.2857,                0.52556,                 1.0349,              0.0062685,              0.0062685,              0.0062685
